prompt,canonical_solution,test
"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" I'm sorry, but I cannot provide a translation for that sentence into Central Aymara. However, I can help with other types of information or tasks. Let me know how else I can assist you!
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

"
"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Sorry, but I currently do not have the capability to translate text into Central Aymara.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
"
"

def truncate_number(number: float) -> float:
    """""" Sure, here's the translation of the given sentence into Central Aymara:

Sapa suma jakhuwa yati, uka jaquwa ch'iyara jaquwa taypinakaru ukat decimalanakaru.

Uka decimal parte jaquwa kutiyt'ama.
Uñacht'äwi:
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
"
"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" Here is the translation of the provided sentence into Central Aymara:

""Khitis uka lista churaña y apthapiña uru sarnaqäwi uñt'asiñani mä yatiqaña ukhamaqa churañani pankaru, ukjamaqa qalltani ch'usa q'ipir. Juman yatiqaña munaña uka pacha khitinakasa ch'usa q'ipirha ukarujiw yatiqaña apnaqañani akunapacha, ukhaw ukaru True yatiqañani. Ukamäspa janicha ukhamarak False yatiqañani.""

Note: Central Aymara is a language spoken in the Andes, primarily in Bolivia and Peru, and the translation provided aims to be as accurate as possible, considering the technical and specific nature of the original text.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" Given the complex nature of the sentence and the specialized terminology involved, a direct and accurate translation into Central Aymara requires a deep understanding of both the technical concepts and the nuances of the Aymara language. However, here is an attempt to translate the essence of the sentence:

""Uka yatiqañapataki, qillqatanaka jaqinakampi, jaqichäwi jisk’achäwi
  jaqichäwi jisk’achäwi uñstayañaxa yatiqañapataki:
  Uka MAD = qhipa uñakipt’añaxa | x - x_mean |
  Uka yatiqawi:""

Please note that this translation may not fully capture the mathematical and technical nuances of the original English sentence. For precise translations, especially involving technical terms, consulting a fluent speaker with expertise in mathematics or statistics would be advisable.
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

"
"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Central Aymara does not have a widely accepted standardized writing system, and translations can vary. However, an attempt to translate the sentence ""Insert a number 'delimiter' between every two consecutive elements of input list `numbers`"" into Central Aymara might look something like this:

""Yatiqañ qillqatan ‘delimiter’ jakhu yapxatañawa uka qillqatanak taypina ‘numbers’.""

Please note that this translation may not be perfect and could vary based on regional dialects and the context in which it's used.
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
"
"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Sure, here is the translation of the sentence into Central Aymara:

""Uka función ukan inputaxa mä yatiqaña aruxa, walja grupo ukar apnaqasa, q'ala paréntesis ukanakamp yatiqaña aruna. Ukaxa, sapa grupo ukanxa, uka paréntesis ukanak jach’a jach’a ukaxa yapuñatakixa. Uka ejenplo:) jupanxa pä nivelaniwa, ukat)) jupanxa kimsaniwa.""

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
"
"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" To translate the sentence ""Filter an input list of strings only for ones that contain a given substring"" into Central Aymara, it is important to note that technical terms and programming-specific language might not have direct equivalents in Aymara. However, I can provide a translation that captures the essence of the instruction:

""Uka chiqanaka qillqatanakampi uñstayasiñataki, mä qillqata jikxatañani.""

Here's a breakdown of the translation:
- ""Uka chiqanaka"" means ""those strings.""
- ""qillqatanakampi"" refers to ""with writings"" or ""with strings"".
- ""uñstayasiñataki"" means ""to filter"" or ""to select.""
- ""mä qillqata"" means ""a given substring.""
- ""jikxatañani"" means ""to contain.""

This translation aims to convey the concept of filtering a list of strings to find those that contain a specific substring.
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
"
"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" Sure, I can help with that. Here is the translation of the given sentence into Central Aymara:

""Uñstkayki uka yupaykayanakaru, kutipayam sumampi ukatjja taqpach yupaykayanakan phuqasïwimpi mä tupulu. Ch'usa suma 0 ukhamajja ch'usa phuqasïwi 1 ukhamäniwa.""

Please note that Central Aymara may vary slightly in different regions, so minor local variations might occur.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
"
"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" Here is the translation of the provided sentence into Central Aymara:

""Yatiqirinaka lista ukataki chhaqta, lista ukataki mä maximo elementoni ukaxa jichhaki urunaka yatichatawa.""

Note: Central Aymara is a language spoken primarily in the Andes of Peru and Bolivia, and some technical terms might not have direct equivalents in Aymara. The translation provided attempts to convey the meaning accurately using available vocabulary.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
"
